Foresight Sports: mhutch84 - 12/6/2021 3:44 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, YDS, MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
3-Wood, Standard, 159.4, 10.8, 3.9, 3677, -731, -11.2, 3749, 254.0, 270.7, -12.0, 43.3, 36.4, 104.8, 111.5, 1.43, 3.0, 3.3, --, --, --, --, --, --
3-Wood, Standard, 158.0, 12.9, 4.7, 3077, -542, -10.0, 3124, 263.0, 281.1, -3.9, 43.7, 39.8, 93.5, 110.3, 1.43, 2.7, 2.8, --, --, --, --, --, --
3-Wood, Standard, 146.6, 14.5, 4.1, 2105, -638, -16.9, 2200, 252.7, 276.2, -17.5, 37.7, 32.6, 100.4, 107.2, 1.37, 3.6, 1.9, --, --, --, --, --, --
3-Wood, Standard, 155.9, 13.9, 2.9, 2989, -245, -4.7, 2999, 262.7, 280.3, 1.7, 44.3, 41.6, 94.1, 109.5, 1.42, 3.5, 1.9, --, --, --, --, --, --
3-Wood, Standard, 154.4, 12.3, 3.1, 4312, 331, 4.4, 4325, 240.1, 255.0, 25.2, 46.3, 40.2, 123.2, 109.9, 1.40, 3.4, 3.4, --, --, --, --, --, --
3-Wood, Standard, 156.8, 13.0, 4.1, 3138, -482, -8.7, 3175, 260.2, 277.9, -3.4, 43.8, 39.7, 96.6, 109.8, 1.43, 2.8, 1.8, --, --, --, --, --, --
3-Wood, Standard, 159.7, 12.7, 3.6, 3600, -416, -6.6, 3624, 258.6, 275.8, -1.0, 45.8, 42.4, 98.7, 110.8, 1.44, 3.6, 3.1, --, --, --, --, --, --
3-Wood, Standard, 157.4, 13.0, 3.0, 2731, -812, -16.6, 2849, 264.2, 282.9, -27.8, 41.7, 37.2, 97.0, 109.4, 1.44, 3.5, 3.3, --, --, --, --, --, --
3-Wood, Standard, 158.5, 12.5, 4.2, 3661, -320, -5.0, 3675, 255.8, 272.0, 6.1, 45.5, 41.2, 102.6, 110.7, 1.43, 2.7, 2.9, --, --, --, --, --, --
3-Wood, Standard, 151.0, 15.4, 6.0, 3068, 201, 3.7, 3075, 252.4, 270.1, 37.8, 45.7, 43.4, 113.3, 107.9, 1.40, 4.2, 3.4, --, --, --, --, --, --
3-Wood, Standard, 155.7, 14.2, 6.7, 3335, -310, -5.3, 3349, 256.4, 272.8, 17.8, 46.0, 43.4, 103.7, 109.7, 1.42, 4.1, 5.2, --, --, --, --, --, --
Average, , 154.6, 12.8, 4.3, 3188, -335, -7.2, 3244, 252.5, 270.9, 2.8, 42.3, 37.5, 107.2, 109.2, 1.42, 3.6, 3.3, --, --, --, --, --, --
Std. Dev., , 4.4, 2.0, 1.7, 695, 449, 8.9, 664, 9.5, 8.8, 23.9, 5.7, 6.8, 10.5, 1.7, 0.02, 0.7, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
